id,split,max_sim,area_frac,max_area,density
100007,train,0.7836910486221313,0.27352487718400004,0.27352487718400004,1
10002,train,0.8432753682136536,0.187091648608,0.187091648608,1
100040,train,0.8877519965171814,0.33957048341699997,0.33957048341699997,1
100042,train,0.8564547300338745,0.28935817471999997,0.28935817471999997,1
100043,train,0.8809521794319153,0.25198344962299996,0.25198344962299996,1
10007,train,0.7639334201812744,0.673222237992,0.673222237992,1
100077,train,0.7540821433067322,0.7460046487019999,0.7460046487019999,1
100094,train,0.7641832828521729,0.274357304262,0.274357304262,1
100102,train,0.8560487627983093,0.265026168342,0.265026168342,1
100137,train,0.8447282910346985,0.4111559922,0.4111559922,1
100164,train,0.8724274635314941,0.35259275871,0.35259275871,1
100186,train,0.8367084264755249,0.18826132776,0.18826132776,1
10021,train,0.8614301085472107,0.2686501599,0.2686501599,1
100225,train,0.8929181694984436,0.138685225098,0.138685225098,1
1002404,train,0.8210970163345337,0.537999550941,0.537999550941,1
100245,train,0.8153276443481445,0.507867961709,0.507867961709,1
100249,train,0.7264890670776367,0.7948154051199999,0.7948154051199999,1
100251,train,0.7648940682411194,0.8577138996839999,0.8577138996839999,1
10031,train,0.7515642642974854,0.197026469955,0.197026469955,1
100314,train,0.7287972569465637,0.14864431139,0.14864431139,1
100349,train,0.849429726600647,0.290393557272,0.290393557272,1
100359,train,0.8551790118217468,0.18780652775599999,0.18780652775599999,1
10036,train,0.8435520529747009,0.144508325936,0.144508325936,1
100375,train,0.8623651266098022,0.305447359984,0.305447359984,1
100404,train,0.7843117713928223,0.473372000516,0.473372000516,1
100431,train,0.7502313256263733,0.605921365127,0.605921365127,1
100448,train,0.8381555080413818,0.48736629242999996,0.48736629242999996,1
100458,train,0.791720986366272,0.40249928000199997,0.40249928000199997,1
100496,train,0.8280064463615417,0.429079556157,0.429079556157,1
100556,train,0.7236471176147461,0.45673479936,0.45673479936,1
100564,train,0.876693844795227,0.38916841326199997,0.38916841326199997,1
100588,train,0.9186062812805176,0.202837315923,0.202837315923,1
100627,train,0.7622809410095215,0.44772700971999996,0.44772700971999996,1
100644,train,0.7854076623916626,0.333121086622,0.333121086622,1
100652,train,0.8678598999977112,0.20297355030200004,0.20297355030200004,1
100662,train,0.8468793630599976,0.317502764456,0.317502764456,1
100665,train,0.7325025796890259,0.20500936614600002,0.20500936614600002,1
100668,train,0.812567412853241,0.4510108735119999,0.4510108735119999,1
100670,train,0.8036545515060425,0.274335967888,0.274335967888,1
100693,train,0.7705070376396179,0.615037183566,0.615037183566,1
100697,train,0.8075017333030701,0.30060697216000004,0.30060697216000004,1
1006974,train,0.7703618407249451,0.82790496195,0.82790496195,1
10070,train,0.7883975505828857,0.20500783498800002,0.20500783498800002,1
100711,train,0.8901914358139038,0.25594356226799997,0.25594356226799997,1
10075,train,0.8404659032821655,0.321704169065,0.321704169065,1
100759,train,0.8107972145080566,0.333908537007,0.333908537007,1
100760,train,0.8107972145080566,0.388558263696,0.388558263696,1
100765,train,0.8107972145080566,0.42875318295600007,0.42875318295600007,1
100792,train,0.8107972145080566,0.43314949125600005,0.43314949125600005,1
100803,train,0.9116904735565186,0.180730686061,0.180730686061,1
1008244,train,0.8777081966400146,0.4691242965459999,0.4691242965459999,1
100833,train,0.8107972145080566,0.31543361827800004,0.31543361827800004,1
100848,train,0.8832395672798157,0.111617064976,0.111617064976,1
100880,train,0.8107972145080566,0.463980115872,0.463980115872,1
100883,train,0.8107972145080566,0.642654898704,0.642654898704,1
100893,train,0.8425017595291138,0.362030260611,0.362030260611,1
100897,train,0.8429375290870667,0.610433619825,0.610433619825,1
100903,train,0.8107972145080566,0.1443978096,0.1443978096,1
100927,train,0.8107972145080566,0.49655295974400004,0.49655295974400004,1
1009556,train,0.8427204489707947,0.232137930827,0.232137930827,1
100962,train,0.8107972145080566,0.570578711978,0.570578711978,1
101018,train,0.8107972145080566,0.19382794657199998,0.19382794657199998,1
101025,train,0.8107972145080566,0.42173048020200005,0.42173048020200005,1
101036,train,0.8107972145080566,0.354171183654,0.354171183654,1
101037,train,0.8107972145080566,0.259617275244,0.259617275244,1
1010430,train,0.8833602666854858,0.38691853422600003,0.38691853422600003,1
101048,train,0.8593807220458984,0.23243698799999998,0.23243698799999998,1
1010580,train,0.8256872296333313,0.462985818338,0.462985818338,1
101144,train,0.8107972145080566,0.221572237992,0.221572237992,1
101166,train,0.7669632434844971,0.470018380103,0.470018380103,1
10119,train,0.8107972145080566,0.360084411576,0.360084411576,1
10123,train,0.7400143146514893,0.31788272946999996,0.31788272946999996,1
101261,train,0.7880343198776245,0.29797102784100005,0.29797102784100005,1
